# January 14, 2020
#
# Lines that Danielle is pulling for the major cloudy grids
#
N  4	765.147
N  3	991.00
C  3	977.02
C  2	904.142
C  2	1036.34
C  2	1037.02
S  4	1062.66
H  1	1215.68
N  5	1238.82
N  5	1242.8
Si 2	1264.74
Si 2	1265.00
C  2	1334.53
C  2	1335.66
C  2	1335.71
Si 4	1393.75
Si 4	1402.77
O  4	1397.2
O  4	1399.77
O  4	1401.16
O  4	1404.78
S  4	1404.81
S  4	1406.02
O  4	1407.38
S  4	1416.89
N  4	1486.00
Si 2	1533.43
C  4	1548.19
C  4	1550.78
Ne 5	1574.76
Ne 4	1601.61
He 2	1640.00
O  3	1660.81
O  3	1666.15
Al 2	1670.79
S  3	1713.11
S  3	1728.94
N  3	1748.65
N  3	1749.67
N  3	1752.16
N  3	1753.99
Ne 3	1814.56
Si 2	1816.93
Al 3	1854.72
Al 3	1862.79
Si 3 	1882.71
Si 3	1892.03
C  3	1906.68
C  3	1908.73
N  2	2139.01
N  2	2142.78
C  3	2296.90
O  3	2320.95
C  2	2325.40
C  2	2326.93
C  2	2328.12
O  2	2471.00
Si 2	2334.41
Si 2	2344.2
Fe 2	2364.83
Fe 2	2395.63
Fe 2	2598.37
Fe 2	2611.87
Fe 2	2625.67
Mg 2	2795.53
Mg 2	2802.71
Fe 4	2823.5
Fe 4	2829.36
Fe 4	2835.74
Fe 4	3094.96
Ne 5	3426.03
O  2	3726.03
O  2	3728.81
H  1	3770.63
H  1	3797.89
He 1	3819.61
H  1	3835.38
He 1	3867.48
Ne 3	3868.76
H  1	3889.05
Ne 3	3967.47
H  1	3970.07
He 1	4026.2
S  2	4068.60
S  2	4076.35
H  1	4101.73
Fe 5	4227.19
H  1	4340.46
O  3	4363.21
He 1	4471.49
He 2	4685.64
Ne 4	4724.17
Ar 4	4711.26
Ar 4	4740.12
H  1	4861.33
He 1	4921.93
O  3	4958.91
O  3	5006.84
He 1	5015.68
N  1	5197.9
N  1	5200.26
Cl 3	5517.71
Cl 3	5537.87
O  1	5577.34
N  2	5754.61
He 1	5875.64
O  1	6300.
S  3	6312.06
O  1	6363.78
H  1	6562.81
N  2	6583.45
He 1	6678.15
S  2	6716.44
S  2	6730.82
Ar 5	7005.83
Ar 3	7135.79
He 1	7281.35
O  2	7318.92
O  2	7319.99
O  2	7329.67
O  2	7330.73
Ar 4	7332.15
Ar 3	7751.11
S  3	9068.62
S  3	9530.62
Fe 4	2.83562m
Fe 2	5.33881m
Ar 2	6.98337m
Ar 5	7.89971m
Ar 3	8.98898m
S  4	10.5076m
Ne 2	12.8101m
Ar 5	13.0975m
Ne 5	14.3228m
Ne 3	15.5509m
Fe 2	17.9314m
S  3	18.7078m
Ar 3	21.8253m
Fe 3	22.9190m
Ne 5	24.2065m
O  4	25.8832m
S  3	33.4704m
Si 2	34.8046m
Ne 3	36.0036m
O  3	51.8004m
N  3	57.3238m
O  1	63.1679m
O  3	88.3323m
N  2	121.767m
O  1	145.495m
C  2	157.636m
N  2	205.244m
